Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Weaponize,Static,"While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may Intercept for its Wielder as a Free Action.",,,,"While being wielded as a Living Weapon and being actively Commanded as a Pokémon, the user may Intercept for its Wielder as a Free Action."
Weeble,"At-Will - Standard Action, Reaction","The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble.",The user is hit by a damaging attack,,,"Trigger - The user is hit by a damaging attack
The user may make an AC4 Physical Attack against an adjacent target. If the attack hits, the target loses Hit Points equal to 1/3rd of the damage taken by the user from the attack that triggered Weeble."
Whirlwind Kicks,Static,"Connection – Rapid Spin. When the user uses the Move “Rapid Spin”, it has a range of “Burst 1” instead of Melee and gains the Priority keyword.",,,,"Connection – Rapid Spin. When the user uses the Move “Rapid Spin”, it has a range of “Burst 1” instead of Melee and gains the Priority keyword."
White Flame,Static,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains a +5 Bonus to all Damage Rolls.",,,,"The user may not make rolls to cure themselves from the Enraged condition. However, while Enraged, the user gains a +5 Bonus to all Damage Rolls."
White Smoke,Static,"The user’s Combat Stages, Evasion, or Accuracy may not be lowered except by the user’s own Moves and effects. Defensive.",,,,"The user’s Combat Stages, Evasion, or Accuracy may not be lowered except by the user’s own Moves and effects. Defensive."
Windveiled,Static,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user raises the Damage Base of their next Flying-Type Move by +1. Defensive.",,,,"The user is immune to the damage and effects of Flying-Type attacks. If the user is hit by a Flying-Type attack, the user raises the Damage Base of their next Flying-Type Move by +1. Defensive."
Winter's Kiss,Static,"The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an Ice-Type Move, the user is healed by a Tick of Hit Points. Defensive.",,,,"The user does not take damage from Ice-Type Moves. Whenever the user uses or is hit by an Ice-Type Move, the user is healed by a Tick of Hit Points. Defensive."
Wishmaster,Static,"Connection – Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon being healed; or the target is cured of any Status Affliction.",,,,"Connection – Wish. Whenever the user uses Wish, the user may pick one of the following effects: the target is healed instantly instead of the following round; or the target gains +2 CS to the Stat of their choice upon being healed; or the target is cured of any Status Affliction."
Wistful Melody,Scene - Free Action,"Connection – Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits that target or not. This Ability does not affect targets with the Soundproof Ability.",,,,"Connection – Sing. Whenever the user uses Sing, they may activate to his Ability to cause targets that are targeted by Sing have their Attack and Special Attack lowered by -2 CS each, whether Sing successfully hits that target or not. This Ability does not affect targets with the Soundproof Ability."
Wobble,Scene - Free Action,"The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency.",The user is hit by a damaging attack,,,"Trigger - The user is hit by a damaging attack
The user may use either Counter or Mirror Coat as a Reaction, ignoring Frequency."
Wonder Guard,Static,Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses. Defensive.,,,,Only damaging attacks that are Super-Effective affect the Pokémon with Wonder Guard; all other damaging attacks cannot hit the user or deal damage. Wonder Guard loses its effect if the user has no weaknesses. Defensive.
Wonder Skin,Static,The user gains +6 Evasion against Status Moves. Defensive.,,,,The user gains +6 Evasion against Status Moves. Defensive.
Zen Mode,At-Will - Free Action,"Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has its Base Stats altered in any way, both sets of Base Stats are affected. As a Free Action, Darmanitan may activate Zen Mode if it is at less than 50% of its full Hit Points. Darmanitan may change back from Zen Mode as a Free Action if its Hit Point total is at 50% or higher. Darmanitan may switch from one form to another once per Scene.",,,,"Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has its Base Stats altered in any way, both sets of Base Stats are affected. As a Free Action, Darmanitan may activate Zen Mode if it is at less than 50% of its full Hit Points. Darmanitan may change back from Zen Mode as a Free Action if its Hit Point total is at 50% or higher. Darmanitan may switch from one form to another once per Scene."
Needles,Static,"Connection – Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points.",,,9-15 Errata,"Keywords - 9-15 Errata
Connection – Needle Arm. Whenever the user hits a target with a Physical Melee attack, that target loses a Tick of Hit Points."
Sequence [Errata],At-Will – Free Action,"For every allied Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage.",The user uses an Electric Attack,,9-15 Errata,"Keywords - 9-15 Errata
Trigger - The user uses an Electric Attack
For every allied Electric-Type Pokémon adjacent to the user, the triggering Attack deals an additional +3 Damage."
Eggscellence,Static,Connection – Barrage. The user receives STAB when using Barrage and Egg Bomb. These Moves deal Damage as if one step more effective on 16+.,,,9-15 Errata,"Keywords - 9-15 Errata
Connection – Barrage. The user receives STAB when using Barrage and Egg Bomb. These Moves deal Damage as if one step more effective on 16+."
Abominable [Errata],Static,"The user’s Base HP is increased by +5. Additionally, the user ignores the Recoil Keyword when attacking.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Base HP is increased by +5. Additionally, the user ignores the Recoil Keyword when attacking."
Adaptability [Errata],Static,The user gains a +1d10 Bonus to Damage Rolls with Moves with which they apply STAB.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a +1d10 Bonus to Damage Rolls with Moves with which they apply STAB."
Aftermath [Errata],Scene - Free Action,The user creates a Burst 1. Everything in the Burstloses three Ticks of Hit Points.,The user becomes Fainted,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user becomes Fainted
The user creates a Burst 1. Everything in the Burstloses three Ticks of Hit Points."
Ambush [Errata],Scene - Free Action,"The user may activate this Ability to use a Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched and has a -2 penalty to Accuracy Rolls for 1 full round.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate this Ability to use a Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched and has a -2 penalty to Accuracy Rolls for 1 full round."
Arena Trap [Errata],Scene - Free Action,"Once Arena Trap is activated, all foes within 5 meters of the user are considered Slowed and Trapped. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is Fainted or returned to a Poké Ball.",,Pokémon or Trainers,2-16 Errata,"Keywords - 2-16 Errata
Target - Pokémon or Trainers
Once Arena Trap is activated, all foes within 5 meters of the user are considered Slowed and Trapped. This does not affect targets of the Flying Type, or with a Levitate, Sky, or Burrow Speed of 4 or higher. The user may end the effect as a Free Action, and the effect ends if the user is Fainted or returned to a Poké Ball."
Aroma Veil [Errata],Static,"The user and all adjacent Pokémon and Trainers cannot become Confused, Enraged, or Suppressed. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user and all adjacent Pokémon and Trainers cannot become Confused, Enraged, or Suppressed. Defensive."
Aura Break [Errata],Scene - Swift Action,The foe reveals its abilities. Pick one ability; any Damage Bonuses (either Damage Base increases or Damage Roll bonuses) granted by the ability instead become Damage Penalties of the same value.,,A foe within 6 meters,2-16 Errata,"Keywords - 2-16 Errata
Target - A foe within 6 meters
The foe reveals its abilities. Pick one ability; any Damage Bonuses (either Damage Base increases or Damage Roll bonuses) granted by the ability instead become Damage Penalties of the same value."
Aura Storm [Errata],Static,"For each injury the user has, they gain a +3 Bonus to Damage Rolls.",,,2-16 Errata,"Keywords - 2-16 Errata
For each injury the user has, they gain a +3 Bonus to Damage Rolls."
Bad Dreams [Errata],At-Will - Swift Action,"All Sleeping targets within 5 meters lose a Tick of Hit Points. If at least one target lost Hit Points this way, the user gains a tick of Temporary Hit Points.",,,2-16 Errata,"Keywords - 2-16 Errata
All Sleeping targets within 5 meters lose a Tick of Hit Points. If at least one target lost Hit Points this way, the user gains a tick of Temporary Hit Points."
Beautiful [Errata],Scene - Standard Action,"The user may activate Beautiful to either gain +2 Beauty Dice in a Contest, or to gain +1 Special Attack Combat Stage and cure all allies within 5 meters of the Enraged Condition.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Beautiful to either gain +2 Beauty Dice in a Contest, or to gain +1 Special Attack Combat Stage and cure all allies within 5 meters of the Enraged Condition."
Blow Away [Errata],Static,"Connection - Whirlwind. When the user uses Whirlwind, all targets hit are pushed an additional 2 meters and lose a Tick of Hit Points.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Whirlwind. When the user uses Whirlwind, all targets hit are pushed an additional 2 meters and lose a Tick of Hit Points."
Bodyguard [Errata],Scene x2 - Free Action,"The user and the triggering Ally switch places, and the user becomes the target of the triggering attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit. Defensive.",An adjacent Ally is hit by an attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - An adjacent Ally is hit by an attack
The user and the triggering Ally switch places, and the user becomes the target of the triggering attack instead, taking damage from the attack as if resisted one step further. If switching places would not move the triggering Ally out of the area-of-effect of a Burst, Blast, Cone, or Line, this Ability does not prevent the ally from being hit. Defensive."
Bone Lord [Errata],At-Will - Free Action,"Connection – Bonemerang. Once per Scene per Move, the following Moves may be used as if they had the following bonuses:
- Bone Club: Bone Club’s target loses 1 Defense and Special Attack CS.
- Bonemerang: Has a Range of Line 6 but loses the Double Strike keyword
- Bone Rush: Bone Rush automatically ‘hits’ four times (as per the Five Strike keyword).","You hit with Bone Club, Bonemerang, or Bone Rush",,2-16 Errata,"Keywords - 2-16 Errata
Trigger - You hit with Bone Club, Bonemerang, or Bone Rush
Connection – Bonemerang. Once per Scene per Move, the following Moves may be used as if they had the following bonuses:
- Bone Club: Bone Club’s target loses 1 Defense and Special Attack CS.
- Bonemerang: Has a Range of Line 6 but loses the Double Strike keyword
- Bone Rush: Bone Rush automatically ‘hits’ four times (as per the Five Strike keyword)."
Bone Wielder [Errata],Static,"The user’s Bone Club, Bonemerang, and Bone Rush Moves ignore immunity against Ground-Type Moves.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Bone Club, Bonemerang, and Bone Rush Moves ignore immunity against Ground-Type Moves."
Brimstone [Errata],Static,"Whenever the user inflicts Burn or Poison with a damaging Fire-Type or Poison-Type Attack, the target becomes both Burned and Poisoned.",,,2-16 Errata,"Keywords - 2-16 Errata
Whenever the user inflicts Burn or Poison with a damaging Fire-Type or Poison-Type Attack, the target becomes both Burned and Poisoned."
Celebrate [Errata],At-Will - Swift Action,"The user may immediately Disengage as a Free Action.
Bonus: Whenever the user Disengages for any reason, they may Shift 2 meters instead of 1.",The user hits a foe with a damaging attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user hits a foe with a damaging attack
The user may immediately Disengage as a Free Action.
Bonus: Whenever the user Disengages for any reason, they may Shift 2 meters instead of 1."
Chlorophyll [Errata],Static,"While in Sunny Weather or under 50% Max Hit Points, the user’s Initiative is doubled.",,,2-16 Errata,"Keywords - 2-16 Errata
While in Sunny Weather or under 50% Max Hit Points, the user’s Initiative is doubled."
Clay Cannons [Errata],At-Will - Swift Action,"Until the end of the round, the user may originate any Ranged Move they use from any square within 2 meters of itself.",,,2-16 Errata,"Keywords - 2-16 Errata
Until the end of the round, the user may originate any Ranged Move they use from any square within 2 meters of itself."
Damp [Errata],Static,"Whenever anyone within 10 meters would use the Moves Self-Destruct or Explosion or activate the Aftermath Ability, those effects fail and instead do nothing.
Bonus: The user gains a +1d10 Bonus to Damage Rolls with Water-Typed Moves.",,,2-16 Errata,"Keywords - 2-16 Errata
Whenever anyone within 10 meters would use the Moves Self-Destruct or Explosion or activate the Aftermath Ability, those effects fail and instead do nothing.
Bonus: The user gains a +1d10 Bonus to Damage Rolls with Water-Typed Moves."
Danger Syrup [Errata],Scene - Free Action,"Connection - Sweet Scent. When this Ability is activated the user may use Sweet Scent as a Free Action, ignoring Frequency. Whenever the user hits a foe with Sweet Scent, that foe is Blinded for 1 full round.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Sweet Scent. When this Ability is activated the user may use Sweet Scent as a Free Action, ignoring Frequency. Whenever the user hits a foe with Sweet Scent, that foe is Blinded for 1 full round."
Defeatist [Errata],Static,"The user gain a +2d6 Bonus to Damage Rolls while over 50% of its Maximum Hit Points. While at 50% Max Hit Points or lower, the user gains a -5 penalty to Damage Rolls and +10 Initiative.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gain a +2d6 Bonus to Damage Rolls while over 50% of its Maximum Hit Points. While at 50% Max Hit Points or lower, the user gains a -5 penalty to Damage Rolls and +10 Initiative."
Defy Death [Errata],At-Will - Swift Action,"The user instantly removes up to three injuries, and gains a Tick of Hit Points for each injury removed this way. Defy Death may be used to cure up to three Injuries per day. Injuries removed this way do not count towards the total number of injuries that can be healed per day.",,,2-16 Errata,"Keywords - 2-16 Errata
The user instantly removes up to three injuries, and gains a Tick of Hit Points for each injury removed this way. Defy Death may be used to cure up to three Injuries per day. Injuries removed this way do not count towards the total number of injuries that can be healed per day."
Desert Weather [Errata],Static,"The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and gains a Tick of Temporary Hit Points at the end of each of its turns while in Rainy Weather.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is immune to Sandstorm Damage, resists Fire-Type Moves in Sunny Weather, and gains a Tick of Temporary Hit Points at the end of each of its turns while in Rainy Weather."
Download [Errata],Scene - Swift Action,"The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is lower, the user gains a +1 Attack CS. If the Special Defense Stat is lower, the user instead gains +1 Special Attack CS. If both are tied, the user gains +1 CS to any Stat of their choice.",,Trainer or Pokémon,2-16 Errata,"Keywords - 2-16 Errata
Target - Trainer or Pokémon
The target must reveal whether its Defense or Special Defense Stats are lower. If the Defense Stat is lower, the user gains a +1 Attack CS. If the Special Defense Stat is lower, the user instead gains +1 Special Attack CS. If both are tied, the user gains +1 CS to any Stat of their choice."
Dreamspinner [Errata],Scene x3 - Swift Action,"All Sleeping Foes within 3 meters lose a Tick of Hit Points, and the user gains a Tick of Temporary Hit Points.",,,2-16 Errata,"Keywords - 2-16 Errata
All Sleeping Foes within 3 meters lose a Tick of Hit Points, and the user gains a Tick of Temporary Hit Points."
Drizzle [Errata],Scene x3 - Swift Action,The Weather changes to be Rainy for 1 full round.,,,2-16 Errata,"Keywords - 2-16 Errata
The Weather changes to be Rainy for 1 full round."
Drought [Errata],Scene x3 - Swift Action,The Weather changes to be Sunny for 1 full round.,,,2-16 Errata,"Keywords - 2-16 Errata
The Weather changes to be Sunny for 1 full round."
Drown Out [Errata],Scene x2 - Free Action,The triggering Move fails and has no effect.,A foe uses a Move with the Sonic keyword,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - A foe uses a Move with the Sonic keyword
The triggering Move fails and has no effect."
Dust Cloud [Errata],Static,Connection - Poison Powder. The user may use Moves with the Powder Keyword as if they had a Range of “Burst 1”.,,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Poison Powder. The user may use Moves with the Powder Keyword as if they had a Range of “Burst 1”."
Early Bird [Errata],Static,"The user gains a bonus to Initiative equal to half its Speed, and a +3 Bonus on Save Checks against Sleep.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a bonus to Initiative equal to half its Speed, and a +3 Bonus on Save Checks against Sleep."
Electrodash [Errata],Scene x2 - Swift Action,"The user may make a Sprint Action as a Free Action.
Bonus: The user may free itself from the Stuck condition as a Shift Action. The user does not provoke Attacks of Opportunity when Sprinting.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may make a Sprint Action as a Free Action.
Bonus: The user may free itself from the Stuck condition as a Shift Action. The user does not provoke Attacks of Opportunity when Sprinting."
Filter [Errata],Static,The user gains +5 Damage Reduction against Super-Effective damage. Defensive.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +5 Damage Reduction against Super-Effective damage. Defensive."
Flash Fire [Errata],Static,"The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, they gain +1 CS in their choice of Attack or Special Attack. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user is immune to the damage and effects of Fire-Type attacks. If the user is hit by a Fire-Type attack, they gain +1 CS in their choice of Attack or Special Attack. Defensive."
Flare Boost [Errata],Scene - Swift Action,The user gains +3 Attack and Special Attack Combat Stages. Flare Boost may only be used while Burned.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains +3 Attack and Special Attack Combat Stages. Flare Boost may only be used while Burned."
Flower Gift [Errata],Scene - Swift Action,"Flower Gift may only be used if the Weather is Sunny or if the user is under 50% Hit Points. When activated, the user may pick two Stats, gaining +2 Combat Stages in each Stat. All targets within 2 meters also gain +1 Combat Stage in each of the chosen Stats.",,,2-16 Errata,"Keywords - 2-16 Errata
Flower Gift may only be used if the Weather is Sunny or if the user is under 50% Hit Points. When activated, the user may pick two Stats, gaining +2 Combat Stages in each Stat. All targets within 2 meters also gain +1 Combat Stage in each of the chosen Stats."
Flower Power [Errata],Static,The user may perform damaging Grass Type Moves as if they were their choice of either Physical or Special.,,,2-16 Errata,"Keywords - 2-16 Errata
The user may perform damaging Grass Type Moves as if they were their choice of either Physical or Special."
Flower Veil [Errata],Static,Grass-Type Pokemon within 5 meters cannot have their Combat Stages lowered.,,,2-16 Errata,"Keywords - 2-16 Errata
Grass-Type Pokemon within 5 meters cannot have their Combat Stages lowered."
Fox Fire [Errata],Scene - Standard Action,"Connection - Ember. The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as to use the Move Ember against that foe as a Free Action after the triggering Move is resolved.",,,2-16 Errata,"Keywords - 2-16 Errata
Connection - Ember. The user creates 3 Fire Wisps. Whenever the user is targeted by a foe within 6 meters, they may spend a Fire Wisp as to use the Move Ember against that foe as a Free Action after the triggering Move is resolved."
Frisk [Feb Errata],At-Will - Swift Action,"The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any.",,An Adjacent Pokémon,2-16 Errata,"Keywords - 2-16 Errata
Target - An Adjacent Pokémon
The target reveals their Type, Ability, Nature, Level, and name of any Held Items they are currently holding, if any."
Frisk [SuMo Errata],Static,The user gains a +2 Bonus to all Accuracy Rolls against adjacent targets.,,,Sun/Moon Errata,"Keywords - Sun/Moon Errata
The user gains a +2 Bonus to all Accuracy Rolls against adjacent targets."
Gale Wings [Errata],"Scene x2 - Free Action, Priority","The user may activate Gale Wings to use a Flying-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate Gale Wings to use a Flying-Type Move with Priority. If the Move is a Damaging Move, the user adds half their Speed Stat to the Damage Roll."
Gluttony [Errata],Static,"The user may have up to three Food Buffs at once, use up to three Food Buffs per Scene, and may eat two refreshments per half hour.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may have up to three Food Buffs at once, use up to three Food Buffs per Scene, and may eat two refreshments per half hour."
Gore [Errata],Scene x2 - Swift Action,"Connection - Horn Attack. Horn Attack gains the Double Strike keyword, and pushes its target 2 meters.",The user uses Horn Attack,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user uses Horn Attack
Connection - Horn Attack. Horn Attack gains the Double Strike keyword, and pushes its target 2 meters."
Grass Pelt [Errata],Scene - Swift Action,"The user gains two ticks worth of Temporary Hit Points.
Bonus: When standing on any grassy or leafy terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains two ticks worth of Temporary Hit Points.
Bonus: When standing on any grassy or leafy terrain that is either Slow or Rough Terrain, the user gains +5 Damage Reduction. Defensive."
Heatproof [Errata],Static,"The user resists Fire Type moves one step further, and does not lose Hit Points from the Burn Condition.",,,2-16 Errata,"Keywords - 2-16 Errata
The user resists Fire Type moves one step further, and does not lose Hit Points from the Burn Condition."
Heavy Metal [Errata],Static,"The user’s Weight Class is increased by +2. Their Defense Base Stat is increased by +2, but their Speed Base Stat is decreased by 2.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Weight Class is increased by +2. Their Defense Base Stat is increased by +2, but their Speed Base Stat is decreased by 2."
Honey Paws [Errata],Static,The user may consume Honey to gain a Food Buff as if they had consumed Leftovers. This Food Buff does not count against their normal limit.,,,2-16 Errata,"Keywords - 2-16 Errata
The user may consume Honey to gain a Food Buff as if they had consumed Leftovers. This Food Buff does not count against their normal limit."
Huge Power / Pure Power [Errata],Static,"The user’s Base Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Base Attack Stat is increased by +5, and by +1 more for every 10 Levels the user has. This Ability cannot be disabled in any way."
Hustle [Errata],Static,The user receives a -2 penalty to all Accuracy Rolls and gains a +10 Bonus to All Damage Rolls.,,,2-16 Errata,"Keywords - 2-16 Errata
The user receives a -2 penalty to all Accuracy Rolls and gains a +10 Bonus to All Damage Rolls."
Hydration [Errata],Scene - Swift Action,The user is cured of one Status Affliction. Hydration’s Frequency is ignored if used during Rainy Weather.,,,2-16 Errata,"Keywords - 2-16 Errata
The user is cured of one Status Affliction. Hydration’s Frequency is ignored if used during Rainy Weather."
Ice Body [Errata],Daily x5 - Swift Action,"The user gains a Tick of Hit Points. Ice Body may only be used while the user is under 50% Hit Points or in Hailing Weather.
Bonus: The user is immune to Hit Point loss from Hail.",,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a Tick of Hit Points. Ice Body may only be used while the user is under 50% Hit Points or in Hailing Weather.
Bonus: The user is immune to Hit Point loss from Hail."
Imposter [Errata],Static,"If the user is not Transformed, they may use Transform as a Free-Action Interrupt.",,,2-16 Errata,"Keywords - 2-16 Errata
If the user is not Transformed, they may use Transform as a Free-Action Interrupt."
Inner Focus [Errata],Static,"The user cannot be Flinched, and their Initiative cannot be unwillingly lowered by any effects.",,,2-16 Errata,"Keywords - 2-16 Errata
The user cannot be Flinched, and their Initiative cannot be unwillingly lowered by any effects."
Interference [Errata],Scene - Swift Action,The accuracy of all foes within 3 meters is reduced by -2 for 1 full round.,,,2-16 Errata,"Keywords - 2-16 Errata
The accuracy of all foes within 3 meters is reduced by -2 for 1 full round."
Intimidate [Errata],At-Will - Swift Action,Lower the target’s Attack 1 Combat Stage. You may target a specific foe only once per Scene with Intimidate.,,Pokémon or Trainer within 5 meters,2-16 Errata,"Keywords - 2-16 Errata
Target - Pokémon or Trainer within 5 meters
Lower the target’s Attack 1 Combat Stage. You may target a specific foe only once per Scene with Intimidate."
Justified [Errata],At-Will - Free Action,"The user may raise its Attack by +1 Combat Stage.
Bonus: The user always gains a +4 bonus to Skill Checks made to Intercept.",The user is hit by a damaging Dark Type Move or Attack of Opportunity,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user is hit by a damaging Dark Type Move or Attack of Opportunity
The user may raise its Attack by +1 Combat Stage.
Bonus: The user always gains a +4 bonus to Skill Checks made to Intercept."
Kampfgeist [Errata],Scene - Free Action,"The triggering damage is resisted one step further.
Bonus: The user gains STAB on Fighting-Type Moves.","The user takes Bug, Dark, or Rock-Type Damage",,2-16 Errata,"Keywords - 2-16 Errata
Trigger - The user takes Bug, Dark, or Rock-Type Damage
The triggering damage is resisted one step further.
Bonus: The user gains STAB on Fighting-Type Moves."
Leaf Guard [Errata],Scene - Swift Action,The user is cured of one Status Affliction. Leaf Guard’s Frequency is ignored if used during Sunny Weather.,,,2-16 Errata,"Keywords - 2-16 Errata
The user is cured of one Status Affliction. Leaf Guard’s Frequency is ignored if used during Sunny Weather."
Life Force [Errata],Daily x5 - Swift Action,The user gains a Tick of Hit Points.,,,2-16 Errata,"Keywords - 2-16 Errata
The user gains a Tick of Hit Points."
Light Metal [Errata],Static,"The user’s Weight Class is decreased by 2. Their Speed Base Stat is increased by +2, but their Defense Base Stat is decreased by 2.",,,2-16 Errata,"Keywords - 2-16 Errata
The user’s Weight Class is decreased by 2. Their Speed Base Stat is increased by +2, but their Defense Base Stat is decreased by 2."
Lightning Kicks [Errata],Scene - Free Action,"The user may activate this Ability to use any Move with “Kick” in the name as a Priority Move, and gain a +4 Bonus to the attack’s Accuracy Roll.",,,2-16 Errata,"Keywords - 2-16 Errata
The user may activate this Ability to use any Move with “Kick” in the name as a Priority Move, and gain a +4 Bonus to the attack’s Accuracy Roll."
Lightning Rod [Errata],Scene - Free Action,"The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. The user’s Special Attack is then raised by +1 Combat Stage.
Bonus: The user is immune to the damage and effects of Electric Type attacks. Defensive.",A ranged Electric Type Move is used within 10 Meters of the user.,,2-16 Errata,"Keywords - 2-16 Errata
Trigger - A ranged Electric Type Move is used within 10 Meters of the user.
The Move is turned into a 1-Target Move and is re-directed at the user without fail, and cannot miss. This negates Lock-On or Mind Reader. The user’s Special Attack is then raised by +1 Combat Stage.
Bonus: The user is immune to the damage and effects of Electric Type attacks. Defensive."
Liquid Ooze [Errata],Static,"This user resists Poison-Type Damage one step further. Additionally, when this user is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP. If the user is hit by Leech Seed, the user does not lose Hit Points from Leech Seed; instead Leech Seed’s user loses Hit Points equal to this user’s Tick Value.",,,2-16 Errata,"Keywords - 2-16 Errata
This user resists Poison-Type Damage one step further. Additionally, when this user is damaged by Absorb, Drain Punch, Giga Drain, Horn Leech, Leech Life, or Mega Drain, that Move gains Recoil ½ and the Move’s user does not gain any HP. If the user is hit by Leech Seed, the user does not lose Hit Points from Leech Seed; instead Leech Seed’s user loses Hit Points equal to this user’s Tick Value."
Lunchbox [Errata],Scene - Free Action,The user gains a Tick of Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Food Buff.,,The user trades in a Food Buff,2-16 Errata,"Keywords - 2-16 Errata
Target - The user trades in a Food Buff
The user gains a Tick of Temporary Hit Points. These Temporary Hit Points stack with any Temporary Hit Points granted by the triggering Food Buff."
Magma Armor [Errata],Static,"Whenever a foe hits you with a Melee Attack or ends their turn grappling you, they lose a tick of Hit Points. Foes immune to Burn do not suffer this effect.
Bonus: The user cannot be Frozen. Defensive.",,,2-16 Errata,"Keywords - 2-16 Errata
Whenever a foe hits you with a Melee Attack or ends their turn grappling you, they lose a tick of Hit Points. Foes immune to Burn do not suffer this effect.
Bonus: The user cannot be Frozen. Defensive."
Magnet Pull [Errata],Scene x3 - Swift Action,"Pick Two Effects;
-The target is pushed or pulled X meters directly away or towards the user. X is up to 6 meters minus the target’s Weight Class.
-Until the end of the user’s next turn, the target may not move more then 6 meters away from the user .
-Until the end of the user’s next turn, the target may not move closer than 3 meters ot the user.",,A Steel-Type Pokémon within 6 meters,2-16 Errata,"Keywords - 2-16 Errata
Target - A Steel-Type Pokémon within 6 meters
Pick Two Effects;
-The target is pushed or pulled X meters directly away or towards the user. X is up to 6 meters minus the target’s Weight Class.
-Until the end of the user’s next turn, the target may not move more then 6 meters away from the user .
-Until the end of the user’s next turn, the target may not move closer than 3 meters ot the user."
