Pokemon:,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type 1,Type 2,Overland,Sky,Swim,Levitate,Burrow,H Jump,L Jump,Power,Naturewalk,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 6,Capability 7,Capability 8,Capability 9,Size,Weight,EggGroup1,EggGroup2,Type1,Type2
Sawsbuck,8,10,7,6,7,10,Normal,Grass,6,0,0,0,0,2,2,5,"Grassland, Forest",Pack Mon,Mountable 1,-,-,-,-,-,-,-,Large,4,Field,-,Normal,Grass
Scatterbug,4,4,4,3,3,4,Bug,,3,0,2,0,0,0,0,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Sceptile,7,9,7,11,9,12,Grass,,8,0,5,0,0,3,3,5,"Grassland, Forest",Wallclimber,-,-,-,-,-,-,-,-,Medium,4,Monster,Dragon,Grass,None
Scizor,7,13,10,6,8,7,Bug,Steel,7,7,3,0,0,2,3,7,"Grassland, Forest",-,-,-,-,-,-,-,-,-,Medium,5,Bug,-,Bug,Steel
Scolipede,6,9,9,6,7,11,Bug,Poison,8,0,4,0,0,2,2,6,"Grassland, Forest",Wallclimber,Mountable 1,-,-,-,-,-,-,-,Large,6,Bug,-,Bug,Poison
Scrafty,7,9,12,5,12,6,Dark,Fight,5,0,3,0,0,1,1,6,"Desert, Mountain",Pack Mon,Stealth,Darkvision,-,-,-,-,-,-,Medium,3,Field,Dragon,Dark,Fighting
Scraggy,5,8,7,4,7,5,Dark,Fight,4,0,2,0,0,1,1,3,"Desert, Mountain",Pack Mon,Stealth,Darkvision,Underdog,-,-,-,-,-,Small,2,Field,Dragon,Dark,Fighting
Scyther,7,11,8,6,8,11,Bug,Flying,8,8,4,0,0,2,3,6,"Grassland, Forest",-,-,-,-,-,-,-,-,-,Medium,4,Bug,-,Bug,Flying
Seadra,6,7,10,10,5,9,Water,,3,0,6,0,0,1,2,3,Ocean,Gilled,Fountain,-,-,-,-,-,-,-,Medium,2,Water 1,Dragon,Water,None
Seaking,8,9,7,7,8,7,Water,,1,0,6,0,0,3,3,3,Ocean,Gilled,Fountain,-,-,-,-,-,-,-,Medium,3,Water 2,-,Water,None
Sealeo,9,6,7,8,7,5,Ice,Water,4,0,6,0,0,1,1,4,Tundra,Underdog,-,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Ice,Water
Seedot,4,4,5,3,3,3,Grass,,3,0,1,0,0,1,1,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Field,Plant,Grass,None
Seel,7,5,6,5,7,5,Water,,4,0,5,0,0,1,1,3,"Ocean, Tundra",Underdog,-,-,-,-,-,-,-,-,Medium,4,Water 1,Field,Water,None
Seismitoad,11,9,8,9,8,7,Water,Ground,6,0,5,0,0,2,3,6,Wetlands,Fountain,Groundshaper,-,-,-,-,-,-,-,Medium,4,Water 1,-,Water,Ground
Sentret,4,5,3,4,5,2,Normal,,4,0,3,0,0,1,1,1,"Forest, Grassland",Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Normal,None
Serperior,8,8,10,8,10,11,Grass,,8,0,5,0,0,3,2,5,"Grassland, Forest",Stealth,-,-,-,-,-,-,-,-,Large,4,Field,Plant,Grass,None
Servine,6,6,8,6,8,8,Grass,,6,0,4,0,0,2,2,3,"Grassland, Forest",Stealth,Underdog,-,-,-,-,-,-,-,Small,2,Field,Plant,Grass,None
Seviper,7,10,6,10,6,7,Poison,,5,0,3,0,0,1,0,4,"Desert, Forest",Darkvision,-,-,-,-,-,-,-,-,Large,4,Field,Dragon,Poison,None
Sewaddle,5,5,7,4,6,4,Bug,Grass,5,0,2,0,0,1,1,1,"Grassland, Forest",Threaded,Wallclimber,Underdog,Leaf Crafter,-,-,-,-,-,Small,1,Bug,-,Bug,Grass
Sharpedo,7,12,4,10,4,10,Water,Dark,2,0,9,0,0,2,2,5,Ocean,Darkvision,Fountain,Gilled,-,-,-,-,-,-,Medium,4,Water 2,-,Water,Dark
Shaymin,10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin L,10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin (L),10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin-L,10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin Land,10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin (Land),10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin-Land,10,10,10,10,10,10,Grass,,7,0,4,0,4,1,2,2,"Grassland, Forest",Sprouter,Telepath,Sky Forme,Forme Change,-,-,-,-,-,Small,1,None,-,Grass,None
Shaymin S,10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shaymin (S),10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shaymin-S,10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shaymin Sky,10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shaymin (Sky),10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shaymin-Sky,10,10,8,12,8,13,Grass,Flying,7,10,5,0,0,3,3,2,"Grassland, Forest",Sprouter,Telepath,Forme Change,-,-,-,-,-,-,Small,1,None,-,Grass,Flying
Shedinja,0,9,5,3,3,4,Bug,Ghost,3,5,3,0,0,2,2,1,"Grassland, Forest",Darkvision,Dead Silent,Soulless,Wallclimber,-,-,-,-,-,Small,1,Mineral,-,Bug,Ghost
Shelgon,7,10,10,6,5,5,Dragon,,3,0,1,0,0,1,1,6,-,Underdog,-,-,-,-,-,-,-,-,Medium,5,Dragon,-,Dragon,None
Shellder,3,7,10,5,3,4,Water,,1,0,3,0,0,0,0,1,Ocean,Gilled,Fountain,Underdog,-,-,-,-,-,-,Small,1,Water 3,-,Water,None
Shellos,8,5,5,6,6,3,Water,,2,0,4,0,0,1,0,1,Wetlands,Amorphous,Gilled,Wallclimber,Underdog,-,-,-,-,-,Small,1,Water 1,Indeterminate,Water,None
Shelmet,5,4,9,4,7,3,Bug,,5,7,3,0,0,1,1,4,Forest,Underdog,-,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Shieldon,3,4,12,4,9,3,Rock,Steel,3,0,2,0,0,0,0,5,"Mountain, Cave",Underdog,-,-,-,-,-,-,-,-,Small,4,Monster,-,Rock,Steel
Shiftry,9,10,6,9,6,8,Grass,Dark,7,0,3,0,0,1,2,5,"Grassland, Forest",Darkvision,-,-,-,-,-,-,-,-,Medium,4,Field,Plant,Grass,Dark
Shinx,5,7,3,4,3,5,Electric,,5,0,3,0,0,1,1,2,"Grassland, Cave",Tracker,Zapper,Underdog,-,-,-,-,-,-,Small,1,Field,-,Electric,None
Shroomish,6,4,6,4,6,4,Grass,,3,0,1,0,0,0,1,2,"Grassland, Forest",Mushroom Harvest,Underdog,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,None
Shuckle,2,1,23,1,23,1,Bug,Rock,3,0,1,0,0,0,0,4,-,Juicer,-,-,-,-,-,-,-,-,Small,2,Bug,-,Bug,Rock
Shuppet,4,8,4,6,3,5,Ghost,,1,0,0,4,0,1,1,1,-,Invisibility,Phasing,Stealth,Darkvision,Dead Silent,Underdog,-,-,-,Small,1,Indeterminate,-,Ghost,None
Sigilyph,7,6,8,10,8,10,Psychic,Flying,1,7,1,0,0,1,2,3,-,Guster,Invisibility,Telekinetic,-,-,-,-,-,-,Medium,2,Flying,-,Psychic,Flying
Silcoon,5,4,6,3,3,2,Bug,,1,0,1,0,0,1,1,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Simipour,8,10,6,10,6,10,Water,,5,0,3,0,0,2,2,4,"Forest, Grassland",Fountain,-,-,-,-,-,-,-,-,Medium,3,Field,-,Water,None
Simisage,8,10,6,10,6,10,Grass,,5,0,3,0,0,2,2,4,"Forest, Grassland",-,-,-,-,-,-,-,-,-,Medium,3,Field,-,Grass,None
Simisear,8,10,6,10,6,10,Fire,,5,0,3,0,0,2,2,4,"Forest, Grassland",Firestarter,-,-,-,-,-,-,-,-,Medium,3,Field,-,Fire,None
Skarmory,7,8,14,4,7,7,Steel,Flying,4,9,3,0,0,1,2,5,-,Mountable 1,-,-,-,-,-,-,-,-,Large,4,Flying,-,Steel,Flying
Skiddo,7,7,5,6,6,5,Grass,,6,0,3,0,0,2,3,3,"Grassland, Forest",Underdog,Mountable 1,-,-,-,-,-,-,-,Small,3,Field,-,Grass,None
Skiploom,6,5,5,5,7,5,Grass,Flying,3,5,3,0,0,2,2,2,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,Plant,Grass,Flying
Skitty,5,5,5,4,4,5,Normal,,5,0,3,0,0,2,2,1,Grassland,Tracker,Underdog,-,-,-,-,-,-,-,Small,1,Field,Fairy,Normal,None
Skorupi,4,5,9,3,6,7,Poison,Bug,4,0,2,0,0,1,1,2,Forest,Underdog,-,-,-,-,-,-,-,-,Small,2,Bug,Water 3,Poison,Bug
Skrelp,5,6,6,6,6,3,Water,Bug,2,0,5,0,0,0,1,1,Ocean,Fountain,Gilled,Stealth,Underdog,-,-,-,-,-,Small,1,Water 1,Dragon,Poison,Water
Skuntank,10,9,7,7,6,8,Poison,Dark,5,0,2,0,0,1,1,2,"Grassland, Forest",Darkvision,-,-,-,-,-,-,-,-,Medium,3,Field,-,Poison,Dark
Slaking,15,16,10,10,7,10,Normal,,6,0,4,0,0,2,2,9,Forest,Pack Mon,-,-,-,-,-,-,-,-,Large,5,Field,-,Normal,None
Slakoth,6,6,6,4,4,3,Normal,,3,0,1,0,0,1,1,3,Forest,Underdog,-,-,-,-,-,-,-,-,Small,3,Field,-,Normal,None
Sliggoo,7,8,5,8,11,6,Dragon,,5,0,3,0,0,0,1,2,-,Amorphous,Blindsense,Underdog,-,-,-,-,-,-,Small,2,Dragon,-,Dragon,None
Slowbro,10,8,11,10,8,3,Water,Psychic,3,0,4,0,0,1,1,7,Wetlands,Fountain,-,-,-,-,-,-,-,-,Medium,4,Monster,Water 1,Water,Psychic
Slowking,10,8,8,10,11,3,Water,Psychic,4,0,3,0,0,1,1,5,Wetlands,Fountain,Pack Mon,Telepath,-,-,-,-,-,-,Medium,4,Monster,Water 1,Water,Psychic
Slowpoke,9,7,7,4,4,2,Water,Psychic,1,0,2,0,0,1,1,2,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Medium,3,Monster,Water 1,Water,Psychic
Slugma,4,4,4,7,4,2,Fire,,3,0,2,0,0,0,0,3,-,Amorphous,Egg Warmer,Firestarter,Wallclimber,Underdog,-,-,-,-,Small,3,Indeterminate,-,Fire,None
Slurpuff,8,8,9,9,8,7,Fairy,,7,0,3,0,0,1,2,2,-,Alluring,-,-,-,-,,,-,-,Small,1,Fairy,-,Fairy,None
Smeargle,6,2,4,2,5,8,Normal,,5,0,3,0,0,1,1,3,"Forest, Urban",Tracker,Underdog,-,-,-,-,-,-,-,Medium,4,Field,-,Normal,None
Smoochum,5,3,2,9,7,7,Ice,Psychic,4,0,2,0,0,1,1,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Humanshape,-,Ice,Psychic
Sneasel,6,10,6,4,8,12,Dark,Ice,7,0,3,0,0,2,2,2,"Cave, Tundra",Darkvision,Stealth,-,-,-,-,-,-,-,Medium,3,Field,-,Dark,Ice
Snivy,5,5,6,5,6,6,Grass,,5,0,4,0,0,1,2,2,"Grassland, Forest",Stealth,Underdog,-,-,-,-,-,-,-,Small,1,Field,Plant,Grass,None
Snorlax,16,11,7,7,11,3,Normal,,5,0,1,0,0,2,2,12,"Forest, Mountain",Tracker,-,-,-,-,-,-,-,-,Large,6,Monster,-,Normal,None
Snorunt,5,5,5,5,5,5,Ice,,4,0,2,0,0,1,1,1,Tundra,Chilled,Glow,Underdog,-,-,-,-,-,-,Small,2,Fairy,Mineral,Ice,None
Snover,6,6,5,6,6,4,Grass,Ice,4,0,2,0,0,1,1,2,"Grassland, Forest, Tundra",Chilled,Underdog,-,-,-,-,-,-,-,Medium,4,Monster,Plant,Grass,Ice
Snubbull,6,8,5,4,4,3,Fairy,,5,0,3,0,0,1,1,1,Grassland,Tracker,Underdog,-,-,-,-,-,-,-,Small,1,Field,Fairy,Fairy,None
Solosis,5,3,4,11,5,2,Psychic,,2,0,1,4,0,1,1,1,-,Telekinetic,Underdog,-,-,-,-,-,-,-,Small,1,Indeterminate,-,Psychic,None
Solrock,7,10,9,6,7,7,Rock,Psychic,1,0,2,5,0,1,1,10,-,Dead Silent,Telekinetic,-,-,-,-,-,-,-,Medium,5,Mineral,-,Rock,Psychic
Spearow,4,6,3,3,3,7,Normal,Flying,4,5,2,0,0,1,1,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,-,Normal,Flying
Spewpa,5,2,6,3,3,3,Bug,,2,0,1,0,0,0,0,1,"Grassland, Forest",Threaded,Underdog,-,-,-,-,-,-,-,Small,1,Bug,-,Bug,None
Spheal,7,4,5,6,5,3,Ice,Water,3,0,4,0,0,2,2,1,Tundra,Underdog,-,-,-,-,-,-,-,-,Small,3,Water 1,Field,Ice,Water
Spinarak,4,6,4,4,4,3,Bug,Poison,4,0,2,0,0,1,2,1,"Grassland, Forest",Threaded,Wallclimber,Underdog,-,-,-,-,-,-,Small,1,Bug,-,Bug,Poison
Spinda,6,6,6,6,6,6,Normal,,5,0,2,0,0,1,2,1,-,Underdog,-,-,-,-,-,-,-,-,Medium,1,Field,Humanshape,Normal,None
Spiritomb,5,9,11,9,11,4,Ghost,Dark,2,0,3,5,0,0,0,2,-,Darkvision,Dead Silent,Invisibility,Phasing,Keystone Warp,-,-,-,-,Medium,5,Indeterminate,-,Ghost,Dark
Spoink,6,3,4,7,8,6,Psychic,,4,0,1,0,0,3,3,1,-,Telepath,Underdog,-,-,-,-,-,-,-,Small,3,Field,-,Psychic,None
Spritzee,8,5,6,6,7,2,Fairy,,2,4,2,0,0,0,1,1,-,Alluring,Underdog,-,-,-,-,-,-,-,Small,1,Fairy,-,Fairy,None
Squirtle,4,5,7,5,6,4,Water,,6,0,6,0,0,1,1,2,Wetlands,Fountain,Underdog,-,-,-,-,-,-,-,Small,1,Monster,Water 1,Water,None
Stantler,7,10,6,9,7,9,Normal,,7,0,3,0,0,2,2,4,-,Tracker,-,-,-,-,-,-,-,-,Medium,4,Field,-,Normal,None
Staraptor,9,12,7,5,5,10,Normal,Flying,4,10,3,0,0,3,3,5,-,Guster,Mountable 1,-,-,-,-,-,-,-,Medium,2,Flying,-,Normal,Flying
Staravia,6,8,5,4,4,8,Normal,Flying,3,7,2,0,0,2,2,3,-,Underdog,-,-,-,-,-,-,-,-,Small,2,Flying,-,Normal,Flying
Starly,4,6,3,3,3,6,Normal,Flying,2,5,1,0,0,1,1,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,-,Normal,Flying
Starmie,6,8,9,10,9,12,Water,Psychic,1,6,6,0,0,2,3,3,-,Fountain,Gilled,-,-,-,-,-,-,-,Medium,4,Water 3,-,Water,Psychic
Staryu,3,5,6,7,6,9,Water,,1,4,3,0,0,2,4,2,-,Fountain,Gilled,Underdog,-,-,-,-,-,-,Small,3,Water 3,-,Water,None
Steelix,8,9,20,6,7,3,Steel,Ground,7,0,4,0,7,2,3,14,-,Groundshaper,Reach 3,Tremorsense,Mountable 5,-,-,-,-,-,Gigantic,6,Mineral,-,Steel,Ground
Stoutland,9,10,9,5,9,8,Normal,,7,0,5,0,0,1,2,5,"Grassland, Urban",Tracker,-,-,-,-,-,-,-,-,Medium,4,Field,-,Normal,None
Stunfisk,11,7,8,8,10,3,Ground,Electric,4,0,3,0,3,1,1,1,-,Tremorsense,Zapper,-,-,-,-,-,-,-,Small,1,Water 1,Indeterminate,Ground,Electric
Stunky,6,6,5,4,4,7,Poison,Dark,5,0,2,0,0,1,1,2,"Grassland, Forest",Darkvision,Underdog,-,-,-,-,-,-,-,Small,2,Field,-,Poison,Dark
Sudowoodo,7,10,12,3,7,3,Rock,,5,0,3,0,0,1,1,5,Forest,Stealth,Underdog,-,-,-,-,-,-,-,Medium,3,Mineral,-,Rock,None
Suicune,10,8,12,9,12,9,Water,,10,0,10,0,0,3,3,8,"Grassland, Wetlands",Fountain,Guster,Tracker,Mountable 2,-,-,-,-,-,Large,5,Monster,Ground,Water,None
Sunflora,8,8,6,11,9,3,Grass,,5,0,2,0,0,2,2,3,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,None
Sunkern,3,3,3,3,3,3,Grass,,1,0,1,4,0,2,2,1,"Grassland, Forest",Underdog,-,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,None
Surskit,4,3,3,5,5,7,Bug,Water,4,0,4,0,0,2,2,1,Wetlands,Threaded,Honey Gather,Underdog,-,-,-,-,-,-,Small,1,Water 1,Bug,Bug,Water
Swablu,5,4,6,4,8,5,Normal,Flying,2,5,1,0,0,1,1,1,-,Guster,Underdog,-,-,-,-,-,-,-,Small,1,Flying,Dragon,Normal,Flying
Swadloon,6,6,9,5,8,4,Bug,Grass,3,0,2,0,0,1,1,2,"Grassland, Forest",Threaded,Wallclimber,Underdog,Leaf Crafter,-,-,-,-,-,Small,1,Bug,-,Bug,Grass
Swalot,10,7,8,7,8,6,Poison,,5,0,2,0,0,1,1,3,-,Amorphous,Inflatable,Wallclimber,-,-,-,-,-,-,Medium,4,Indeterminate,-,Poison,None
Swampert,10,11,9,9,9,6,Water,Ground,7,0,7,0,4,2,2,7,Wetlands,Gilled,Fountain,-,-,-,-,-,-,-,Medium,4,Monster,Water 1,Water,Ground
Swanna,8,9,6,9,6,10,Water,Flying,4,7,5,0,0,2,3,2,-,Fountain,Guster,-,-,-,-,-,-,-,Medium,2,Water 1,Flying,Water,Flying
Swellow,6,9,6,5,5,13,Normal,Flying,4,7,2,0,0,3,3,1,-,Underdog,-,-,-,-,-,-,-,-,Medium,2,Flying,-,Normal,Flying
Swinub,5,5,4,3,3,5,Ice,Ground,3,0,1,0,0,1,1,1,Tundra,Underdog,-,-,-,-,-,-,-,-,Small,1,Field,-,Ice,Ground
Swirlix,6,5,7,6,6,5,Fairy,,5,0,2,0,0,1,1,1,-,Alluring,Underdog,-,-,-,-,-,-,-,Small,1,Fairy,-,Fairy,None
Swoobat,7,6,6,8,6,11,Psychic,Flying,1,6,3,0,0,2,2,3,-,Darkvision,Tracker,Telekinetic,Underdog,-,-,-,-,-,Medium,1,Field,Flying,Psychic,Flying
Sylveon,10,7,7,11,13,6,Fairy,,6,0,4,0,0,1,2,3,-,Tracker,-,-,-,-,-,-,-,-,Medium,2,Field,-,Fairy,None
Taillow,4,6,3,3,3,9,Normal,Flying,3,6,2,0,0,3,3,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,-,Normal,Flying
Talonflame,8,8,7,7,7,13,Fire,Flying,4,8,0,0,0,2,2,4,-,Firestarter,Guster,Mountable 1,-,-,-,-,-,-,Medium,2,Flying,-,Fire,Flying
Tangela,7,6,12,10,4,6,Grass,,4,0,1,0,0,1,1,4,"Grassland, Forest",Underdog,Reach,-,-,-,-,-,-,-,Medium,3,Plant,-,Grass,None
Tangrowth,10,10,13,11,5,5,Grass,,5,0,2,0,0,1,1,7,"Grassland, Forest",Reach 2,-,-,-,-,-,-,-,-,Large,5,Plant,-,Grass,None
Tauros,8,10,10,4,7,11,Normal,,8,0,4,0,0,1,2,8,-,Pack Mon,Mountable 1,-,-,-,-,-,-,-,Medium,4,Field,-,Normal,None
Teddiursa,6,8,5,5,5,4,Normal,,5,0,3,0,0,2,2,1,"Cave, Mountain",Tracker,Stealth,Honey Gather,Underdog,-,-,-,-,-,Small,1,Field,-,Normal,None
Tentacool,4,4,4,5,10,7,Water,Poison,1,0,5,0,0,1,1,2,Ocean,Gilled,Fountain,Underdog,-,-,-,-,-,-,Small,3,Water 3,-,Water,Poison
Tentacruel,8,7,7,8,12,10,Water,Poison,3,0,7,0,0,1,1,6,Ocean,Gilled,Fountain,Reach 2,-,-,-,-,-,-,Medium,4,Water 3,-,Water,Poison
Tepig,7,6,5,5,5,5,Fire,,5,0,2,0,0,1,1,2,Grassland,Firestarter,Heater,Tracker,Underdog,-,-,-,-,-,Small,1,Field,-,Fire,None
Terrakion,9,13,9,7,9,11,Rock,Fight,5,0,0,0,7,2,2,7,Mountain,Groundshaper,Tremorsense,Mountable 1,-,-,-,-,-,-,Large,6,Field,-,Rock,Fighting
Throh,12,10,9,3,9,5,Fight,,5,0,3,0,0,1,1,7,-,-,-,-,-,-,-,-,-,-,Medium,4,Humanshape,-,Fighting,None
Thundurus I,8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus (I),8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus-I,8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus Incarnate,8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus (Incarnate),8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus-Incarnate,8,12,7,13,8,11,Electric,Flying,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus T,8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus (T),8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus-T,8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus Therian,8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus (Therian),8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Thundurus-Therian,8,11,7,15,8,10,Electric,Flying,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Electric,Flying
Timburr,8,8,6,3,4,4,Fight,,3,0,2,0,0,1,1,4,"Mountain, Urban",Wielder,Underdog,-,-,-,-,-,-,-,Small,2,Humanshape,-,Fighting,None
Tirtouga,6,8,10,5,5,2,Water,Rock,3,0,5,0,0,2,2,4,Ocean,Fountain,Underdog,-,-,-,-,-,-,-,Small,2,Water 1,Water 3,Water,Rock
Togekiss,9,5,10,12,12,8,Fairy,Flying,3,8,3,0,0,2,2,6,-,Guster,-,-,-,-,-,-,-,-,Medium,3,Flying,Fairy,Fairy,Flying
Togepi,4,2,7,4,7,2,Fairy,,3,0,2,0,0,1,1,1,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Fairy,-,Fairy,None
Togetic,6,4,9,8,11,4,Fairy,Flying,5,5,3,0,0,2,2,3,-,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,Fairy,Fairy,Flying
Torchic,5,6,4,7,5,5,Fire,,6,0,3,0,0,1,2,1,Grassland,Heater,Underdog,-,-,-,-,-,-,-,Small,1,Field,-,Fire,None
Torkoal,7,9,14,9,7,2,Fire,,4,0,2,0,0,1,1,6,-,Heater,-,-,-,-,-,-,-,-,Small,4,Field,-,Fire,None
Tornadus I,8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus (I),8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus-I,8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus Incarnate,8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus (Incarnate),8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus-Incarnate,8,12,7,13,8,11,Flying,,5,8,5,0,0,2,2,6,-,Guster,Zapper,-,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus T,8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus (T),8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus-T,8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus Therian,8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus (Therian),8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Tornadus-Therian,8,10,8,11,9,12,Flying,,6,10,3,0,0,2,2,7,"Grassland, Forest",Guster,Zapper,Mountable 1,-,-,-,-,-,-,Large,4,None,-,Flying,None
Torterra,10,11,11,8,9,6,Grass,Ground,6,0,3,0,0,1,1,7,"Grassland, Forest",Groundshaper,Planter,Mountable 2,-,-,-,-,-,-,Large,6,Monster,Plant,Grass,Ground
